,url
118,https://docs.microsoft.com/en-us/azure/javascript/
119,https://docs.microsoft.com/en-us/azure/developer/java/
120,https://docs.microsoft.com/en-us/azure/developer/go/
121,https://docs.microsoft.com/en-us/rest/api/
122,https://docs.microsoft.com/en-us/powershell/azure/
123,https://docs.microsoft.com/en-us/cli/azure/
124,https://docs.microsoft.com/en-us/azure/developer/jenkins
125,https://docs.microsoft.com/en-us/azure/developer/terraform/
126,https://docs.microsoft.com/en-us/azure/developer/ansible
127,https://docs.microsoft.com/en-us/azure/china/
128,https://docs.microsoft.com/en-us/visualstudio/windows?view=vs-2019
129,https://docs.microsoft.com/en-us/visualstudio/windows?view=vs-2017
130,https://docs.microsoft.com/en-us/previous-versions/visualstudio/
131,https://docs.microsoft.com/en-us/visualstudio/releases/2019/release-notes
132,https://docs.microsoft.com/en-us/visualstudio/mac
133,https://docs.microsoft.com/en-us/visualstudio/mac/?view=vsmac-2017
134,https://docs.microsoft.com/en-us/visualstudio/releasenotes/vs2019-mac-relnotes
135,https://docs.microsoft.com/en-us/visualstudio/online/
136,https://docs.microsoft.com/en-us/appcenter
137,https://docs.microsoft.com/en-us/visualstudio/subscriptions
138,https://docs.microsoft.com/en-us/Office365/Enterprise
139,https://docs.microsoft.com/en-us/office365/admin/admin-home
140,https://docs.microsoft.com/en-us/microsoft-365/compliance
141,https://docs.microsoft.com/en-us/microsoft-365/security
142,https://docs.microsoft.com/en-us/Office365
143,https://docs.microsoft.com/en-us/MicrosoftTeams/Teams-overview
144,https://docs.microsoft.com/en-us/MicrosoftTeams/journey-skypeforbusiness-teams
145,https://docs.microsoft.com/en-us/MicrosoftTeams/cloud-voice-deployment
146,https://docs.microsoft.com/en-us/MicrosoftTeams/security-compliance-overview
147,https://docs.microsoft.com/en-us/microsoftteams
148,https://docs.microsoft.com/en-us/DeployOffice/plan-microsoft-365-apps
149,https://docs.microsoft.com/en-us/DeployOffice/mac
150,https://docs.microsoft.com/en-us/DeployOffice/office2019
151,https://docs.microsoft.com/en-us/DeployOffice
152,https://docs.microsoft.com/en-us/sharepoint/sharepoint-server
153,https://docs.microsoft.com/en-us/sharepoint/sharepoint-online
154,https://docs.microsoft.com/en-us/sharepoint/hybrid/hybrid
155,https://docs.microsoft.com/en-us/powershell/sharepoint
156,https://docs.microsoft.com/en-us/sharepoint
157,https://docs.microsoft.com/en-us/onedrive/onedrive
158,https://docs.microsoft.com/en-us/onedrive
159,https://docs.microsoft.com/en-us/Exchange/exchange-online
160,https://docs.microsoft.com/en-us/office/exchange
161,https://docs.microsoft.com/en-us/project-for-the-web/projectforweb-admin-home
162,https://docs.microsoft.com/en-us/Project
163,https://docs.microsoft.com/en-us/office365/planner/planner-admin-home
164,https://docs.microsoft.com/en-us/skypeforbusiness
165,https://docs.microsoft.com/en-us/yammer/yammer-landing-page
166,https://docs.microsoft.com/en-us/Kaizala
167,https://docs.microsoft.com/en-us/officeonlineserver
168,https://docs.microsoft.com/en-us/office/troubleshoot
169,https://docs.microsoft.com/en-us/office365/smallbusiness/build-your-small-business/build-your-small-business
170,https://docs.microsoft.com/en-us/education
171,https://docs.microsoft.com/en-us/learn/m365/
172,https://docs.microsoft.com/en-us/ef/core/
173,https://docs.microsoft.com/en-us/aspnet/core/getting-started
174,https://docs.microsoft.com/en-us/aspnet/core/tutorials
175,https://docs.microsoft.com/en-us/aspnet/core
176,https://docs.microsoft.com/en-us/aspnet/core/tutorials/first-mvc-app/start-mvc
177,https://docs.microsoft.com/en-us/aspnet/mvc/overview/deployment/docker-aspnetmvc
178,https://docs.microsoft.com/en-us/aspnet/core/blazor/
179,https://docs.microsoft.com/en-us/azure/storage
180,https://docs.microsoft.com/en-us/dotnet/fsharp/using-fsharp-on-azure/
181,https://docs.microsoft.com/en-us/xamarin/ios/
182,https://docs.microsoft.com/en-us/xamarin/android
183,https://docs.microsoft.com/en-us/xamarin/xamarin-forms
